payment_id,user_id,amount,payment_date,status
912580a2-7e19-4079-9cc5-b0f7dd1d8c01,1007880f-cca8-4e03-8b19-77736e136c85,369.6,2024-02-26,Pending
9456800d-66dc-4ac2-b98b-b66fb87ac2c8,eb0e3d92-2a31-47af-acd7-25ede337ccc0,138.23,2024-01-17,Pending
dfb0e773-02f9-47b0-847e-1418d50bd743,cd4f8b16-ec37-4db8-88ca-b642d3c87ba2,690.61,2024-05-14,Failed
90625e9d-ef19-422f-b373-8de7a55e8406,c3b2c4d5-6b09-4d05-885e-c8c0ac95b1f5,857.8,2024-04-24,Failed
5b368a03-06de-4db0-9109-91ca34182513,8d447dfe-33c9-475a-9bd4-aa5bad5cdcb8,65.96,2024-07-03,Completed
e9eefeb8-3d87-43d2-bfe6-379651a0f33c,d0ab1ce2-8dba-4028-89dd-bb4829187b48,388.9,2024-07-02,Failed
2763e52d-2f13-413b-ae52-fd9f78605064,f881da73-2d0d-47f5-96d0-2117b165bec2,740.34,2024-04-05,Completed
cf06fb69-ccca-4eca-b164-6bb974d82cab,a27a0e31-c3cc-426b-a3bd-4288f3c74d53,387.78,2024-02-13,Completed
8cc5f4f9-1d3f-499a-8975-eb058fefc20a,735f6009-3c45-4b40-9521-e9a295362ff4,798.1,2024-08-20,Failed
8383f400-b397-4ba2-895a-e63b2ec51d94,26583176-3324-461f-9a76-25040ebdb0ab,908.13,2024-05-08,Completed
dfd30b91-c7e7-49b7-bc04-6def3b27f6ae,3a3ed955-1e2c-4c0e-90f3-1061d55f6faf,300.56,2024-04-26,Completed
9196e5a2-40fa-489f-84a7-e9ae43762455,9d9488ff-b216-4a7c-9d9b-51fc0d8000f1,522.04,2024-04-16,Completed
1670b8e1-29f1-47ac-ab4b-324c5cdd1d79,11aea08e-9d38-4dde-a70c-aad046464b19,566.01,2024-02-04,Pending
df33b160-0930-49cc-be89-c19717ab9958,66c1ff58-74f9-4396-a627-f6ee86eaa57f,637.08,2024-01-24,Completed
843ea0cf-b08c-46d3-b8b9-1a120429f499,f7c35df5-f31c-401c-8ede-83cae49e292c,645.2,2024-04-03,Pending
a12adb3c-5fb3-4620-b843-c1f38348e236,47f44367-480c-4e29-9035-a193c7dea772,174.42,2024-08-19,Completed
baec49c4-1fbe-43e9-baad-46e5227e9d2b,8a0da040-3ec8-42f4-bc9a-a6389ad8eb7b,977.08,2024-02-18,Completed
32699bdf-d5cb-4e0d-9291-d7f2f6122510,5eb0748d-c9c7-46d5-ae4b-5303e2bad242,110.25,2024-02-29,Failed
e98e3953-9637-48e4-8126-6e10461c69d1,86880ad1-de45-45f4-b7dd-a468ee90cb81,237.74,2024-02-23,Pending
92fbae68-0aa1-4bbe-9bb8-1f09f8940930,3daf3ff6-9020-413f-92dd-79a4f8ca26d5,743.43,2024-03-07,Failed
e71223b2-9add-430a-9d62-e9bf5e418ea1,c9c5061b-5cb0-4921-9b18-e4b65ed92fdd,705.86,2024-04-16,Pending
5ae48670-451d-4cb5-ba22-b9320dd03a71,55ab7160-3f94-47ac-a44f-4c6e0a5d2837,390.47,2024-02-16,Pending
